Detector, Descriptor, frame, TTCLidar for vehicle in front
SHITOMASI, BRIEF, 1, 11.8675
SHITOMASI, BRIEF, 2, 12.4158
SHITOMASI, BRIEF, 3, 16.5351
SHITOMASI, BRIEF, 4, 13.3178
SHITOMASI, BRIEF, 5, 12.4166
SHITOMASI, BRIEF, 6, 14.1798
SHITOMASI, BRIEF, 7, 12.6389
SHITOMASI, BRIEF, 8, 14.3901
SHITOMASI, BRIEF, 9, 11.862
SHITOMASI, BRIEF, 10, 12.5062
SHITOMASI, BRIEF, 11, 10.5008
SHITOMASI, BRIEF, 12, 9.87182
SHITOMASI, BRIEF, 13, 9.24142
SHITOMASI, BRIEF, 14, 9.17653
SHITOMASI, BRIEF, 15, 8.22887
SHITOMASI, BRIEF, 16, 8.70514
SHITOMASI, BRIEF, 17, 10.0422
SHITOMASI, BRIEF, 18, 8.75394
SHITOMASI, ORB, 1, 11.8675
SHITOMASI, ORB, 2, 12.4158
SHITOMASI, ORB, 3, 16.5351
SHITOMASI, ORB, 4, 13.3178
SHITOMASI, ORB, 5, 12.4166
SHITOMASI, ORB, 6, 14.1798
SHITOMASI, ORB, 7, 12.6389
SHITOMASI, ORB, 8, 14.3901
SHITOMASI, ORB, 9, 11.862
SHITOMASI, ORB, 10, 12.5062
SHITOMASI, ORB, 11, 10.5008
SHITOMASI, ORB, 12, 9.87182
SHITOMASI, ORB, 13, 9.24142
SHITOMASI, ORB, 14, 9.17653
SHITOMASI, ORB, 15, 8.22887
SHITOMASI, ORB, 16, 8.70514
SHITOMASI, ORB, 17, 10.0422
SHITOMASI, ORB, 18, 8.75394
SHITOMASI, FREAK, 1, 11.8675
SHITOMASI, FREAK, 2, 12.4158
SHITOMASI, FREAK, 3, 16.5351
SHITOMASI, FREAK, 4, 13.3178
SHITOMASI, FREAK, 5, 12.4166
SHITOMASI, FREAK, 6, 14.1798
SHITOMASI, FREAK, 7, 12.6389
SHITOMASI, FREAK, 8, 14.3901
SHITOMASI, FREAK, 9, 11.862
SHITOMASI, FREAK, 10, 12.5062
SHITOMASI, FREAK, 11, 10.5008
SHITOMASI, FREAK, 12, 9.87182
SHITOMASI, FREAK, 13, 9.24142
SHITOMASI, FREAK, 14, 9.17653
SHITOMASI, FREAK, 15, 8.22887
SHITOMASI, FREAK, 16, 8.70514
SHITOMASI, FREAK, 17, 10.0422
SHITOMASI, FREAK, 18, 8.75394
SHITOMASI, SIFT, 1, 11.8675
SHITOMASI, SIFT, 2, 12.4158
SHITOMASI, SIFT, 3, 16.5351
SHITOMASI, SIFT, 4, 13.3178
SHITOMASI, SIFT, 5, 12.4166
SHITOMASI, SIFT, 6, 14.1798
SHITOMASI, SIFT, 7, 12.6389
SHITOMASI, SIFT, 8, 14.3901
SHITOMASI, SIFT, 9, 11.862
SHITOMASI, SIFT, 10, 12.5062
SHITOMASI, SIFT, 11, 10.5008
SHITOMASI, SIFT, 12, 9.87182
SHITOMASI, SIFT, 13, 9.24142
SHITOMASI, SIFT, 14, 9.17653
SHITOMASI, SIFT, 15, 8.22887
SHITOMASI, SIFT, 16, 8.70514
SHITOMASI, SIFT, 17, 10.0422
SHITOMASI, SIFT, 18, 8.75394
HARRIS, BRIEF, 1, 11.8675
HARRIS, BRIEF, 2, 12.4158
